Customer_ID,Name,First_order,Total_orders,Total_revenue,Average_order_value,Time_to_2nd_purchase,Last_purchase,City , tier,Acquisition_channel,RePurchased
CUST-0000001,Tejas Sarkar,9/8/2025,1,3356,3356,,9/8/2025,Mumbai , Tier 1,Meta,N
CUST-0000003,Lila Bedi,9/11/2023,1,2360,2360,,9/11/2023,Bengaluru , Tier 1,Google,N
CUST-0000004,Hamsini Parekh,3/18/2022,2,4029,2014.5,449,6/11/2023,Hyderabad , Tier 1,Google,Y
CUST-0000005,Yug Gill,10/16/2025,1,2581,2581,,10/16/2025,Delhi , Tier 1,Offline (Friends/Family),N
CUST-0000007,Daksha Ramaswamy,3/11/2024,2,5365,2682.5,303,1/8/2025,Bengaluru , Tier 1,Meta,Y
CUST-0000009,Darpan Bhagat,2/21/2022,2,3275,1637.5,60,4/22/2022,Nashik , Tier 2,Influencer,Y
CUST-0000012,Gopal Bali,9/7/2025,1,3215,3215,,9/7/2025,Noida , Tier 2,Meta,N
CUST-0000013,Ayush Hegde,2/26/2023,1,1746,1746,,2/26/2023,Surat , Tier 2,Meta,N
CUST-0000014,Viraj Malhotra,3/13/2024,1,2426,2426,,3/13/2024,Chennai , Tier 1,Google,N
CUST-0000015,Ishita Mody,7/22/2023,1,1993,1993,,7/22/2023,Delhi , Tier 1,Offline (Friends/Family),N
CUST-0000016,Sneha Gulati,8/14/2022,1,1708,1708,,8/14/2022,Mumbai , Tier 1,Meta,N
CUST-0000018,Charvi Deol,4/25/2024,1,3419,3419,,4/25/2024,Delhi , Tier 1,Meta,N
CUST-0000019,Tristan Morar,10/4/2024,2,5919,2959.5,149,3/2/2025,Rajkot , Tier 2,Offline (Friends/Family),Y
CUST-0000020,Anya Sabharwal,3/12/2023,1,1803,1803,,3/12/2023,Delhi , Tier 1,Google,N
CUST-0000022,Lajita Doshi,10/20/2024,1,2179,2179,,10/20/2024,Ahmedabad , Tier 1,Meta,N
CUST-0000023,Amara Swamy,10/26/2023,1,2256,2256,,10/26/2023,Mumbai , Tier 1,Meta,N
CUST-0000029,Tejas Roy,8/7/2024,1,2371,2371,,8/7/2024,Nashik , Tier 2,Meta,N
CUST-0000030,Sathvik Bose,4/11/2023,2,4376,2188,705,3/16/2025,Ahmedabad , Tier 1,Organic Instagram,Y
CUST-0000032,Yoshita Samra,4/10/2022,1,1460,1460,,4/10/2022,Chennai , Tier 1,Instagram DM,N
CUST-0000033,Ojasvi Vaidya,3/1/2024,1,2555,2555,,3/1/2024,Patna , Tier 2,Meta,N
CUST-0000036,Tejas Dasgupta,10/11/2024,3,8731,2910.33,74,12/28/2025,Surat , Tier 2,Influencer,Y
CUST-0000037,Finn Mangat,4/16/2022,1,1600,1600,,4/16/2022,Nashik , Tier 2,Meta,N
CUST-0000038,Jonathan Agate,3/3/2023,1,1978,1978,,3/3/2023,Delhi , Tier 1,Google,N
CUST-0000040,Yashica Shanker,4/4/2022,2,4250,2125,708,3/12/2024,Lucknow , Tier 2,Meta,Y
CUST-0000042,Saksham Sharaf,12/22/2022,3,6274,2091.33,100,10/23/2025,Dehradun , Tier 2,Email/SMS,Y
CUST-0000043,Gopal Dasgupta,11/6/2022,3,7391,2463.67,166,8/27/2025,Noida , Tier 2,Meta,Y
CUST-0000048,Anirudh Chakraborty,10/23/2023,1,2091,2091,,10/23/2023,Delhi , Tier 1,Meta,N
